"OriginalLocationID","LocationID","Datetime","FIVE-DAY BIOCHEMICAL OXYGEN DEMAND"
"HBT05","HBT05","12/12/79","15"
"HBT05","HBT05","5/13/80","14"
"HBT05","HBT05","10/28/80","16"
"HBT05","HBT05","2/26/81","14"
"HBT05","HBT05","7/29/81","17"
"HBT06","HBT06","6/27/79","3.6"
"HBT06","HBT06","8/6/79","3.6"
"HBT06","HBT06","12/12/79","2.7"
"HBT06","HBT06","5/13/80","2.7"
"HBT06","HBT06","10/28/80","12"
"HBT06","HBT06","2/26/81","2"
"HBT06","HBT06","7/29/81","9"
"HBT07","HBT07","5/13/80","1.5"
"HBT07","HBT07","10/28/80","5.1"
"HBT07","HBT07","2/26/81","1"
"HBT08","HBT08","6/27/79","4.2"
"HBT08","HBT08","8/6/79","4.5"
"HBT08","HBT08","12/12/79","8.1"
"HBT08","HBT08","5/13/80","6.6"
"HBT08","HBT08","10/28/80","7.8"
"HBT08","HBT08","2/26/81","12"
"HBT08","HBT08","7/29/81","8.4"
