ID,LocationDescription,WaterBodyID,MunicipalityID,Latitude,Longitude,LocationTypeID,LocationTypeName,CoordinateSystem
ABROldFarm2,,Aberjona River,Reading,42.507269,-71.109135,4,Channelized Stream,WGS84
ABRPine,,Aberjona River,Reading,42.513371,-71.116512,4,Channelized Stream,WGS84
ABRRandall,,Aberjona River,Reading,42.518066,-71.124377,4,Channelized Stream,WGS84
ABRRedGate,,Aberjona River,Reading,42.51074569,-71.11267334,4,Channelized Stream,WGS84
ABRRidge,,Aberjona River,Reading,42.534886,-71.105214,4,Channelized Stream,WGS84
ABRScotland,,Aberjona River,Reading,42.514921,-71.116744,4,Channelized Stream,WGS84
ABRSouthN,,Aberjona River,Reading,42.50527898,-71.1152058,4,Channelized Stream,WGS84
ABRSouthS,,Aberjona River,Reading,42.505078,-71.1153,4,Channelized Stream,WGS84
ABRSturges,,Aberjona River,Reading,42.506316,-71.109418,4,Channelized Stream,WGS84
ABRVanNorden,,Aberjona River,Reading,42.543028,-71.109986,4,Channelized Stream,WGS84
ABRWestCath,,Aberjona River,Reading,42.530792,-71.131898,4,Channelized Stream,WGS84
ABRWillowRR,,Aberjona River,Reading,42.529934,-71.121817,4,Channelized Stream,WGS84
ABRWillowWest,,Aberjona River,Reading,42.526353,-71.125361,4,Channelized Stream,WGS84
MAC053,,Malden Canal,Melrose,42.44353,-71.06975,4,Channelized Stream,WGS84
MUB001,,Munroe Brook,Lexington,42.43126,-71.19041,4,Channelized Stream,WGS84
WIPEAST,,Winter Pond,Winchester,42.45666,-71.1517,4,Channelized Stream,WGS84
BEI015,Main tidegates at Bennington St; 1.4 miles from start of Inlet.,Belle Isle Inlet,East Boston,42.39324722,-70.99426667,7,Estuary,WGS84
BEI015N,Main tidegates at Bennington St; 1.4 miles from start of Inlet.,Belle Isle Inlet,East Boston,42.393361,-70.994161,7,Estuary,WGS84
BEI093,Belle Isle Inlet at Crystal Avenue in Revere; sampled from end of private dock or by walking across mud to channel,Belle Isle Inlet,Revere,42.39207,-70.98676,7,Estuary,WGS84
BEIWBAYOU,,Belle Isle Inlet,Winthrop,42.38755556,-70.97850556,7,Estuary,WGS84
BEIWBOARD,,Belle Isle Inlet,Winthrop,42.3857,-70.98437222,7,Estuary,WGS84
BEIWT2,,Belle Isle Inlet,Winthrop,42.38533889,-70.98707778,7,Estuary,WGS84
CHR95S,Chelsea River in East Boston at Condor Street; sampled at east side of Urban Wild,Chelsea River,Boston,42.38357,-71.02906,7,Estuary,WGS84
EBOBT1S,,Belle Isle Inlet ,East Boston,42.383852,-70.997647,7,Estuary,WGS84
EBOBT2S,,Belle Isle Inlet ,East Boston,42.384428,-70.998309,7,Estuary,WGS84
MIC004,Mill Creek at Broadway Bridge on Chelsea/Revere line; sampled from south east side of Broadway bridge,Mill Creek,Chelsea,42.40334,-71.01803,7,Estuary,WGS84
MWRA015,"INNER, CONFL MYSTIC/CHELSEA R",Boston Inner Harbor,Charlestown,42.383,-71.045167,7,Estuary,WGS84
MWRA130,"WINTHROP HARBOR, GREEN CAN #1",Winthrop Bay,East Boston,42.363333,-70.987333,7,Estuary,WGS84
MYR275,Mystic River at Draw Seven Park in Somerville; sampled downstream of MWR205,Mystic River (Salt),Somerville,42.393173,-71.075633,7,Estuary,WGS84
MYRMMP,Mystic River at Mary O'Malley Park in Chelsea; sampled from east side of wooden pier at east end of park,Mystic River (Salt),Chelsea,42.38715,-71.04901,7,Estuary,WGS84
SHC002,Short Beach Creek,Belle Isle Inlet,Winthrop,42.39070833,-70.98283889,7,Estuary,WGS84
SHCWT3,Short Beach Creek,Belle Isle Inlet,Winthrop,42.38789167,-70.98190278,7,Estuary,WGS84
ARLLML,Lower Mystic Lake South,Lower Mystic Lake,Arlington,42.42189,-71.14565,13,Lake,WGS84
LMLQ,,Lower Mystic Lake,Arlington,42.42595278,-71.14911944,13,Lake,WGS84
UPL001,Upper Mystic Lake at Mystic Lakes Dam in Medford; Sample at south east corner of Uppper Mystic Lake,Upper Mystic Lake,Medford,42.430814,-71.148164,13,Lake,WGS84
UPLM02,Upper Mystic Lake North,Upper Mystic Lake,Winchester,42.44382,-71.14391,13,Lake,WGS84
UPLM03,Upper Mystic Lake Northeast,Upper Mystic Lake,Winchester,42.44434,-71.14317,13,Lake,WGS84
UPLSANBCH,,Upper Mystic Lake,Winchester,42.44006111,-71.14646944,13,Lake,WGS84
UPLSBS,Upper Mystic Lake Shannon Beach,Upper Mystic Lake,Winchester,42.44007,-71.14659,13,Lake,WGS84
ABR012,Judkins Pond,Judkins Pond,Winchester,42.45455,-71.13565,20,Pond-Stormwater,WGS84
ARL45SP,,Mill Brook,Arlington,42.4187,-71.1512,20,Pond-Stormwater,WGS84
ARLP43S,,Mill Brook,Arlington,42.4186,-71.151,20,Pond-Stormwater,WGS84
ELP001,Ell Pond,Ell Pond,Melrose,42.45964,-71.062999,20,Pond-Stormwater,WGS84
FEPNNW,"Fellsmere Pond, North, Northwest",Fellsmere Pond,Malden,42.42908,-71.08538,20,Pond-Stormwater,WGS84
HOP001,Horn Pond West,Horn Pond,Woburn,42.46461,-71.1536,20,Pond-Stormwater,WGS84
HOP003,Horn Pond North,Horn Pond,Woburn,42.47361,-71.15747,20,Pond-Stormwater,WGS84
HOPE,Horn Pond East,Horn Pond,Woburn,42.46516,-71.15227,20,Pond-Stormwater,WGS84
JUPSCH,"Judkins Pond North along Skillings Rd, across from school",Judkins Pond,Winchester,42.45509,-71.13481,20,Pond-Stormwater,WGS84
LEWIS2,,Lewis Lake,Winthrop,42.373775,-70.97410556,20,Pond-Stormwater,WGS84
LEWISE,,Lewis Lake,Winthrop,42.37423333,-70.97301667,20,Pond-Stormwater,WGS84
LEWISED,,Lewis Lake,Winthrop,42.37430278,-70.97311389,20,Pond-Stormwater,WGS84
LEWISN,,Lewis Lake,Winthrop,42.37562222,-70.97805278,20,Pond-Stormwater,WGS84
LIP001,"Little Pond, south east bank",Little Pond,Belmont,42.39883,-71.15831,20,Pond-Stormwater,WGS84
LIPCTR,,Little Pond,Belmont,42.40047,-71.15836,20,Pond-Stormwater,WGS84
LIPDCK,Little Pond dock near WIB,Little Pond,Belmont,42.399375,-71.161024,20,Pond-Stormwater,WGS84
LIPOSE,Little Pond Outlet,Little Pond,Belmont,42.3999,-71.15753,20,Pond-Stormwater,WGS84
LIRACRN,,Little River,Belmont,42.40058056,-71.15351944,20,Pond-Stormwater,WGS84
SACPND,Outlet from new wetland pond,Sales Creek,East Boston,42.392907,-70.998792,20,Pond-Stormwater,WGS84
SPP01,,Spy Pond,Arlington,42.40604,-71.14852,20,Pond-Stormwater,WGS84
SPPBR,Spy Pond Boat Ramp,Spy Pond,Arlington,42.41107,-71.15099,20,Pond-Stormwater,WGS84
SPPNB,Spy Pond North Beach,Spy Pond,Arlington,42.41103,-71.15074,20,Pond-Stormwater,WGS84
SPPSE,Spy Pond near Rte. 2,Spy Pond,Arlington,42.40359,-71.15707,20,Pond-Stormwater,WGS84
WEP001,Wedge Pond Northeast,Wedge Pond,Winchester,42.45604,-71.13882,20,Pond-Stormwater,WGS84
WEP002,Wedge Pond at Borggaard Beach,Wedge Pond,Winchester,42.4541,-71.14306,20,Pond-Stormwater,WGS84
WEPHPB,Wedge Pond North,Wedge Pond,Winchester,42.4566,-71.13911,20,Pond-Stormwater,WGS84
WIHLEWIS0,Near outfall WB-19?,Winthrop Bay,Winthrop,42.37211944,-70.97268889,20,Pond-Stormwater,WGS84
WIHLEWIS1,,Winthrop Bay,Winthrop,42.37241389,-70.97278056,20,Pond-Stormwater,WGS84
WIPW,Winter Pond West,Winter Pond,Winchester,42.4562,-71.15197,20,Pond-Stormwater,WGS84
WRPBCH,West end of Wrights Pond Beach,Wrights Pond,Medford,42.43979,-71.09941,20,Pond-Stormwater,WGS84
1395MA,,Mill Brook,Arlington,42.42534799,-71.18623037,22,River/Stream,WGS84
2ndRd,,Hall's Brook,Stoneham,42.51333787,-71.14802303,22,River/Stream,WGS84
30Park,,Mill Brook,Arlington,42.42475049,-71.18132349,22,River/Stream,WGS84
ABR001,,Aberjona River,Winchester,42.44282778,-71.14255833,22,River/Stream,WGS84
ABR002,,Aberjona River,Winchester,42.443858,-71.140605,22,River/Stream,WGS84
ABR003,,Aberjona River,Winchester,42.444325,-71.138665,22,River/Stream,WGS84
ABR006,Aberjona River at USGS Gaging Station in Winchester; the bank upstream of weir,Aberjona River,Winchester,42.447347,-71.138722,22,River/Stream,WGS84
ABR011,,Aberjona River,Winchester,42.45303611,-71.13534444,22,River/Stream,WGS84
ABR013,,Aberjona River,Winchester,42.456374,-71.136359,22,River/Stream,WGS84
ABR016,,Aberjona River,Winchester,42.45976944,-71.13771944,22,River/Stream,WGS84
ABR017,,Aberjona River,Winchester,42.46086,-71.13715,22,River/Stream,WGS84
ABR021,,Aberjona River,Winchester,42.464328,-71.131756,22,River/Stream,WGS84
ABR023,,Aberjona River,Winchester,42.46726944,-71.13068611,22,River/Stream,WGS84
ABR028,Aberjona River at Washington Street in Winchester; upstream side of the bridge ,Aberjona River,Winchester,42.469472,-71.124958,22,River/Stream,WGS84
ABR031,,Aberjona River,Woburn,42.4742,-71.11983333,22,River/Stream,WGS84
ABR036,,Aberjona River,Woburn,42.479141,-71.117941,22,River/Stream,WGS84
ABR041,,Aberjona River,Woburn,42.4859,-71.12088889,22,River/Stream,WGS84
ABR049,Aberjona River at Salem Street in Woburn; downstream side of the bridge,Aberjona River,Woburn,42.491475,-71.128875,22,River/Stream,WGS84
ABR056,,Aberjona River,Woburn,42.50108333,-71.13491667,22,River/Stream,WGS84
ABR058,,Aberjona River,Woburn,42.5036,-71.13523333,22,River/Stream,WGS84
ABR061,,Aberjona River,Woburn,42.5072,-71.13743333,22,River/Stream,WGS84
ABR064,,Aberjona River,Woburn,42.508404,-71.131956,22,River/Stream,WGS84
ABR066,,Aberjona River,Woburn,42.510367,-71.132939,22,River/Stream,WGS84
ABR069,,Aberjona River,Woburn,42.515278,-71.136167,22,River/Stream,WGS84
ABR070,,Aberjona River,Woburn,42.515824,-71.13606,22,River/Stream,WGS84
ABR073,,Aberjona River,Woburn,42.518174,-71.131138,22,River/Stream,WGS84
ABR079,,Aberjona River,Reading,42.526225,-71.125347,22,River/Stream,WGS84
ABR083,,Aberjona River,Reading,42.529906,-71.121776,22,River/Stream,WGS84
ABR086,,Aberjona River,Reading,42.531509,-71.118373,22,River/Stream,WGS84
ABR091,,Aberjona River,Reading,42.537118,-71.110682,22,River/Stream,WGS84
ABR096,,Aberjona River,Reading,42.539704,-71.104545,22,River/Stream,WGS84
ABR93MILL,,Aberjona River,Woburn,42.49337,-71.1216,22,River/Stream,WGS84
ABR93SAND,,Aberjona River,Woburn,42.48352,-71.11795,22,River/Stream,WGS84
ABRBY128,,Aberjona River,Woburn,42.50196,-71.135,22,River/Stream,WGS84
ABRHOPELN,,Aberjona River,Woburn,42.50303,-71.14565,22,River/Stream,WGS84
ABRJUP,Centerline site near former outfall in Judkin's Pond,Aberjona River ,Winchester,42.454952,-71.13473,22,River/Stream,WGS84
ABRMaple93,,Aberjona River,Woburn,42.47878,-71.11322,22,River/Stream,WGS84
ABRN01,,Aberjona River,Woburn,42.515842,-71.136178,22,River/Stream,WGS84
ABROLYMPIA,,Aberjona River,Woburn,42.50015,-71.14164,22,River/Stream,WGS84
ABRSNC002,,Aberjona River,Woburn,42.4913,-71.12673333,22,River/Stream,WGS84
ABRSUNSET,,Aberjona River,Winchester,42.47321,-71.11862,22,River/Stream,WGS84
ABRUPWILD,,Aberjona River,Woburn,42.495136,-71.142422,22,River/Stream,WGS84
ABRUTA001,,Aberjona River,Winchester,42.4681,-71.13087222,22,River/Stream,WGS84
ABRUTB3,,Aberjona River,Woburn,42.49516667,-71.13816667,22,River/Stream,WGS84
ALB000,,Alewife Brook,Arlington,42.415136,-71.132326,22,River/Stream,WGS84
ALB001,,Alewife Brook,Arlington,42.415,-71.13233333,22,River/Stream,WGS84
ALB002,,Alewife Brook,Arlington,42.4135,-71.1325,22,River/Stream,WGS84
ALB003,,Alewife Brook,Arlington,42.412,-71.13283333,22,River/Stream,WGS84
ALB004,,Alewife Brook,Arlington,42.41066667,-71.13233333,22,River/Stream,WGS84
ALB005,,Alewife Brook,Arlington,42.40933333,-71.13233333,22,River/Stream,WGS84
ALB006,Alewife Brook at Broadway Bridge in Somerville; downstream of the bridge on the bank,Alewife Brook,Somerville,42.407133,-71.133767,22,River/Stream,WGS84
ALB007,,Alewife Brook,Arlington,42.40666667,-71.134,22,River/Stream,WGS84
ALB008,,Alewife Brook,Arlington,42.40533333,-71.1345,22,River/Stream,WGS84
ALB009,,Alewife Brook,Arlington,42.40383333,-71.1345,22,River/Stream,WGS84
ALB010,,Alewife Brook,Arlington,42.4025,-71.135,22,River/Stream,WGS84
ALB011,,Alewife Brook,Arlington,42.40116667,-71.13616667,22,River/Stream,WGS84
ALB012,,Alewife Brook,Arlington,42.40033333,-71.13766667,22,River/Stream,WGS84
ALB013,ALB at center of middle residential block in Fairmont section of Arlington,Alewife Brook,Arlington,42.4,-71.1395,22,River/Stream,WGS84
ALB014,,Alewife Brook,Arlington,42.39916667,-71.14116667,22,River/Stream,WGS84
ALB015,,Alewife Brook,Arlington,42.39816667,-71.1425,22,River/Stream,WGS84
ALB016,,Alewife Brook,Cambridge,42.39716667,-71.14366667,22,River/Stream,WGS84
ALB017,,Alewife Brook,Cambridge,42.39564722,-71.14396389,22,River/Stream,WGS84
ALBALT,Alewife Brook Alewife T Station,Alewife Brook,Cambridge,42.39776,-71.14306,22,River/Stream,WGS84
ALBB17,From steel pipe in roof of bridge,Alewife Brook,Arlington,42.40708611,-71.13386111,22,River/Stream,WGS84
ALBBOOM,,Alewife Brook ,Cambridge,42.395696,-71.143992,22,River/Stream,WGS84
ALBMAR,,Alewife Brook,Cambridge,42.39683333,-71.15179722,22,River/Stream,WGS84
ALBPED,,Alewife Brook,Arlington,42.397522,-71.143427,22,River/Stream,WGS84
ALBS15,,Alewife Brook,Arlington,42.398167,-71.1425,22,River/Stream,WGS84
ARRRES,,Arlington Reservoir,Arlington,42.42707,-71.18936,22,River/Stream,WGS84
ATB002,Atkins Brook at Somerset St (near Shady Brook Lane),Atkins Brook,Belmont,42.40048056,-71.18045,22,River/Stream,WGS84
ATB004,,Atkins Brook,Belmont,42.40006389,-71.18336111,22,River/Stream,WGS84
ATB005,,Atkins Brook,Belmont,42.400204,-71.18391,22,River/Stream,WGS84
ATB007,,Atkins Brook,Belmont,42.40093056,-71.18705833,22,River/Stream,WGS84
BEI001,,Belle Isle Inlet,East Boston,42.38283333,-70.99433333,22,River/Stream,WGS84
BEI002,,Belle Isle Inlet,East Boston,42.38416667,-70.9945,22,River/Stream,WGS84
BEI003,,Belle Isle Inlet,East Boston,42.38533333,-70.99333333,22,River/Stream,WGS84
BEI004,,Belle Isle Inlet,East Boston,42.38583333,-70.9915,22,River/Stream,WGS84
BEI005,,Belle Isle Inlet,East Boston,42.38633333,-70.98966667,22,River/Stream,WGS84
BEI006,,Belle Isle Inlet,East Boston,42.38633333,-70.98766667,22,River/Stream,WGS84
BEI007,,Belle Isle Inlet,East Boston,42.387,-70.986,22,River/Stream,WGS84
BEI009,,Belle Isle Inlet,East Boston,42.389667,-70.987333,22,River/Stream,WGS84
BEI011,,Belle Isle Inlet,East Boston,42.3925,-70.98716667,22,River/Stream,WGS84
BEI013,,Belle Isle Inlet,East Boston,42.39316667,-70.99083333,22,River/Stream,WGS84
BEIBT1,,Belle Isle Inlet,East Boston,42.382975,-70.99529722,22,River/Stream,WGS84
BEIBT2,,Belle Isle Inlet,East Boston,42.383676,-70.99572,22,River/Stream,WGS84
BEIBT3,,Belle Isle Inlet,East Boston,42.38398333,-70.99504722,22,River/Stream,WGS84
BEIBT4,,Belle Isle Inlet,East Boston,42.38638889,-70.99438611,22,River/Stream,WGS84
BEIBT5,,Belle Isle Inlet,East Boston,42.38675556,-70.99396389,22,River/Stream,WGS84
BEIBT6,,Belle Isle Inlet,East Boston,42.39165,-70.98883611,22,River/Stream,WGS84
BEIWT1,,Belle Isle Inlet,East Boston,42.38508889,-70.99065,22,River/Stream,WGS84
BOHCONDOG,,Boston Inner Harbor,East Boston,42.38405,-71.00957,22,River/Stream,WGS84
BOHCONEAST,Constitution Beach,Boston Inner Harbor,East Boston,42.38436,-71.00978,22,River/Stream,WGS84
BOHCONMID,"Constitution Beach @ middle, in line with pedestrian bridge",Boston Inner Harbor,East Boston,42.38435,-71.00977,22,River/Stream,WGS84
BOHCONREC,,Boston Inner Harbor,East Boston,42.38423,-71.00679,22,River/Stream,WGS84
BOHCOVE,,Boston Inner Harbor,East Boston,42.38068,-71.01276,22,River/Stream,WGS84
BOSCONGUL,,Boston Inner Harbor,East Boston,42.38223,-71.01085,22,River/Stream,WGS84
BOSMBTABE,,Mystic River (Salt),Boston,42.38837778,-71.07276667,22,River/Stream,WGS84
Brattle,,Mill Brook,Arlington,42.42041736,-71.16813256,22,River/Stream,WGS84
CHR001,,Chelsea River,Chelsea,42.383,-71.04316667,22,River/Stream,WGS84
CHR002,,Chelsea River,Chelsea,42.3845,-71.04283333,22,River/Stream,WGS84
CHR003,,Chelsea River,Chelsea,42.38533333,-71.04116667,22,River/Stream,WGS84
CHR004,,Chelsea River,Chelsea,42.38566667,-71.03933333,22,River/Stream,WGS84
CHR005,,Chelsea River,Chelsea,42.3855,-71.03733333,22,River/Stream,WGS84
CHR006,,Chelsea River,Chelsea,42.3855,-71.03533333,22,River/Stream,WGS84
CHR007,,Chelsea River,Chelsea,42.385,-71.0335,22,River/Stream,WGS84
CHR008,,Chelsea River,Chelsea,42.38466667,-71.03166667,22,River/Stream,WGS84
CHR009,,Chelsea River,Chelsea,42.38416667,-71.02983333,22,River/Stream,WGS84
CHR010,,Chelsea River,Chelsea,42.384,-71.02783333,22,River/Stream,WGS84
CHR011,,Chelsea River,Chelsea,42.3845,-71.026,22,River/Stream,WGS84
CHR012,,Chelsea River,Chelsea,42.38516667,-71.02433333,22,River/Stream,WGS84
CHR013,,Chelsea River,Chelsea,42.38616667,-71.02283333,22,River/Stream,WGS84
CHR014,,Chelsea River,Chelsea,42.387,-71.02116667,22,River/Stream,WGS84
CHR015,,Chelsea River,Chelsea,42.38783333,-71.01966667,22,River/Stream,WGS84
CHR016,,Chelsea River,Chelsea,42.38916667,-71.019,22,River/Stream,WGS84
CHR017,,Chelsea River,Chelsea,42.3905,-71.018,22,River/Stream,WGS84
CHR018,,Chelsea River,Chelsea,42.39166667,-71.017,22,River/Stream,WGS84
CHR019,,Chelsea River,Chelsea,42.39316667,-71.01683333,22,River/Stream,WGS84
CHR020,,Chelsea River,Chelsea,42.3945,-71.01633333,22,River/Stream,WGS84
CHR021,,Chelsea River,Chelsea,42.39583333,-71.0155,22,River/Stream,WGS84
CHR022,,Chelsea River,Chelsea,42.39716667,-71.0145,22,River/Stream,WGS84
CHR023,,Chelsea River,Chelsea,42.3985,-71.01366667,22,River/Stream,WGS84
CHR024,,Chelsea River,Chelsea,42.399,-71.01183333,22,River/Stream,WGS84
CHR025,,Chelsea River,Chelsea,42.3995,-71.01,22,River/Stream,WGS84
CHR026,,Chelsea River,Chelsea,42.4005,-71.00866667,22,River/Stream,WGS84
CHR027,,Chelsea River,Chelsea,42.40133333,-71.00966667,22,River/Stream,WGS84
CHRWHIGH," Marginal St, near Highland St, sampled from west (downstream) side of Highland outfall, slightly higher elevation",Chelsea River,Chelsea,42.385944,-71.03139,22,River/Stream,WGS84
CUB081,,Cummings Brook,Woburn,42.4815,-71.1745,22,River/Stream,WGS84
CUB145,,Cummings Brook,Woburn,42.48766667,-71.167,22,River/Stream,WGS84
CUBLEX,,Cummings Brook,Woburn,42.47325556,-71.17228056,22,River/Stream,WGS84
CUBLEXE,Cummings Brook @ Lexington St. on DS (south) side- park on Willow St.- sample from E culvert (= CUB009),Cummings Brook,Woburn,42.47333333,-71.17233333,22,River/Stream,WGS84
CUBLEXW,Cummings Brook @ Lexington St. on DS (south) side- park on Willow St.- sample from W culvert (= CUB009),Cummings Brook,Woburn,42.47333333,-71.17233333,22,River/Stream,WGS84
CUBUT1,,Cummings Brook,Woburn,42.49616667,-71.15816667,22,River/Stream,WGS84
CUBUT2,,Cummings Brook,Woburn,42.48083333,-71.17683333,22,River/Stream,WGS84
DRR1,,Aberjona River ,Woburn,42.51329075,-71.14253919,22,River/Stream,WGS84
Elm1,,Aberjona River ,Stoneham,42.48685,-71.0985788,22,River/Stream,WGS84
ELPUT1,,Ell Pond,Wakefield,42.47396,-71.06985,22,River/Stream,WGS84
FEB018,,Fessenden Brook,Lexington,42.44183333,-71.20033333,22,River/Stream,WGS84
FEP01,,Fellsmere Pond,Malden,42.42656972,-71.08646056,22,River/Stream,WGS84
FOB01,,Fowle Brook,Woburn,42.47118611,-71.16115833,22,River/Stream,WGS84
FOB02,,Fowle Brook,Woburn,42.47125278,-71.16147222,22,River/Stream,WGS84
HAB001,,Hall's Brook,Woburn,42.50348333,-71.1355,22,River/Stream,WGS84
HAB002,,Hall's Brook,Woburn,42.513831,-71.144428,22,River/Stream,WGS84
HAB087,,Hall's Brook,Woburn,42.51033333,-71.1545,22,River/Stream,WGS84
HAB87US,,Hall's Brook,Woburn,42.51047,-71.15488,22,River/Stream,WGS84
HABBOS,,Hall's Brook,Woburn,42.51379,-71.14439,22,River/Stream,WGS84
HABBOSDEP,,Hall's Brook,Woburn,42.51856,-71.14631,22,River/Stream,WGS84
HABBOSEND,,Hall's Brook,Woburn,42.52101,-71.14772,22,River/Stream,WGS84
Halls2,,Hall's Brook,Woburn,42.51317075,-71.14264919,22,River/Stream,WGS84
HOB001,,Horn Pond Brook,Winchester,42.45804,-71.14132,22,River/Stream,WGS84
HOB002,,Horn Pond Brook,Winchester,42.45678056,-71.13896944,22,River/Stream,WGS84
HOB003,,Horn Pond Brook,Winchester,42.4592,-71.1442,22,River/Stream,WGS84
HOB004,,Horn Pond Brook,Winchester,42.4594,-71.14506,22,River/Stream,WGS84
HOB063,,Horn Pond Brook,Winchester,42.4606,-71.1471,22,River/Stream,WGS84
HOB064,,Horn Pond Brook,Winchester,42.46052778,-71.14607222,22,River/Stream,WGS84
HOB083,,Horn Pond Brook,Winchester,42.46149,-71.14949,22,River/Stream,WGS84
HOB103,,Horn Pond Brook,Winchester,42.465,-71.15136,22,River/Stream,WGS84
HOBDPW,,Horn Pond Brook,Winchester,42.45839,-71.14212,22,River/Stream,WGS84
HOBWEP,,Horn Pond Brook,Winchester,42.45666,-71.13924,22,River/Stream,WGS84
HOBx13,,Horn Pond Brook,Winchester,42.460544,-71.14734,22,River/Stream,WGS84
HOPOUT,Horn pond outlet,Horn Pond,Woburn,42.46535,-71.151694,22,River/Stream,WGS84
HOPUNCLEA,,Horn Pond,Woburn,42.480881,-71.1576,22,River/Stream,WGS84
HOPUT1,,Horn Pond,Woburn,42.47358056,-71.15978056,22,River/Stream,WGS84
HOPWOPKWY,,Horn Pond,Woburn,42.47355,-71.15987,22,River/Stream,WGS84
ISR001,,Island End River,Everett,42.38783333,-71.05501667,22,River/Stream,WGS84
ISR002,,Island End River,Everett,42.38919444,-71.05422222,22,River/Stream,WGS84
ISR003,,Island End River,Everett,42.39030556,-71.05305556,22,River/Stream,WGS84
ISR004,,Island End River,Everett,42.39125,-71.05181667,22,River/Stream,WGS84
ISR005,,Island End River,Chelsea,42.39216667,-71.05028333,22,River/Stream,WGS84
ISR006,,Island End River,Chelsea,42.3935,-71.04995,22,River/Stream,WGS84
ISR010,,Island End River,Everett,42.398633,-71.050072,22,River/Stream,WGS84
ISR012,,Island End River,Everett,42.399925,-71.053497,22,River/Stream,WGS84
ISR1IN,,Island End River,Everett,42.394419,-71.04977,22,River/Stream,WGS84
LIB087,,Little Brook,Burlington,42.48480833,-71.18892222,22,River/Stream,WGS84
LIB103,,Little Brook,Burlington,42.487025,-71.18932778,22,River/Stream,WGS84
LIBBED,,Little Brook,Woburn,42.48016667,-71.18333333,22,River/Stream,WGS84
LIBUT1,,Little Brook,Burlington,42.48483333,-71.18833333,22,River/Stream,WGS84
LIBUT2,,Little Brook,Burlington,42.488,-71.18583333,22,River/Stream,WGS84
LIBUT3,,Little Brook,Burlington,42.48695,-71.18991667,22,River/Stream,WGS84
LIC002,,Little Creek,Malden,42.41267,-71.07491,22,River/Stream,WGS84
LIC003N,North culvert where Little Creek daylights @ Commercial Ave,Little Creek,Malden,42.4132025,-71.0764,22,River/Stream,WGS84
LIC003S,South culvert where Little Creek daylights @ Commercial Ave,Little Creek,Medford,42.41313,-71.07638,22,River/Stream,WGS84
LIR000,,Little River,Cambridge,42.397292,-71.143739,22,River/Stream,WGS84
LIR001,,Little River,Cambridge,42.39716667,-71.144,22,River/Stream,WGS84
LIR002,,Little River,Cambridge,42.397,-71.14583333,22,River/Stream,WGS84
LIR003,,Little River,Cambridge,42.397,-71.14783333,22,River/Stream,WGS84
LIR004,,Little River,Cambridge,42.39666667,-71.14983333,22,River/Stream,WGS84
LIR005,,Little River,Cambridge,42.3965,-71.15166667,22,River/Stream,WGS84
LIR006,,Little River,Cambridge,42.39681944,-71.15376111,22,River/Stream,WGS84
LIR007,,Little River,Belmont,42.39766667,-71.15516667,22,River/Stream,WGS84
LIR008,,Little River,Belmont,42.39883333,-71.1565,22,River/Stream,WGS84
LIR009,,Little River,Belmont,42.4,-71.15766667,22,River/Stream,WGS84
LIRS02,,Little River,Cambridge,42.397,-71.145833,22,River/Stream,WGS84
