"OriginalLocationID","LocationID","Datetime","NITRATE-NITROGEN DATA  "
"AJ11","ABR001","2/26/1981","1"
"AJ11","ABR001","7/29/1981","2.6"
"MY10","UPL001","6/27/1979","1.2"
"MY10","UPL001","8/6/1979","1.2"
"MY10","UPL001","12/12/1979","1.6"
"MY10","UPL001","5/13/1980","1.3"
"MY10","UPL001","10/28/1980","1"
"MY10","UPL001","2/26/1981","1.7"
"MY10","UPL001","7/29/1981","1.5"
"MY11","MYR071","6/27/1979","1.1"
"MY11","MYR071","8/6/1979","1"
"MY11","MYR071","12/12/1979","1.1"
"MY11","MYR071","5/13/1980","1.5"
"MY11","MYR071","10/28/1980","0.5"
"MY11","MYR071","2/26/1981","1"
"MY11","MYR071","7/29/1981","1.3"
"MY12","MIB001","6/27/1979","1.1"
"MY12","MIB001","8/6/1979","0.9"
"MY12","MIB001","12/12/1979","1.8"
"MY12","MIB001","5/13/1980","1.3"
"MY12","MIB001","10/28/1980","0.7"
"MY12","MIB001","2/26/1981","1.2"
"MY12","MIB001","7/29/1981","0.9"
"MY13","MWRA070","6/27/1979","0.5"
"MY13","MWRA070","8/6/1979","0.6"
"MY13","MWRA070","5/13/1980","1"
"MY13","MWRA070","10/28/1980","0.4"
"MY13","MWRA070","2/26/1981","1"
"MY13","MWRA070","7/29/1981","0.8"
"MY14","MWRA172","5/13/1980","0.8"
"MY14","MWRA172","7/29/1981","0.1"
"MY15","MWRA061","6/27/1979","1"
"MY15","MWRA061","8/6/1979","0.2"
"MY15","MWRA061","10/28/1980","0.5"
"MY15","MWRA061","2/26/1981","1.1"
"MY15","MWRA061","7/29/1981","0.8"
"MY16A","MYR39","2/26/1981","3.5"
"MY17A","MAR036","6/27/1979","0.4"
"MY17A","MAR036","8/6/1979","0.4"
"MY17A","MAR036","10/28/1980","0.4"
"MY17A","MAR036","2/26/1981","1.2"
"MY17A","MAR036","7/29/1981","0.2"
"MY18","MWRA059","6/27/1979","0.3"
"MY18","MWRA059","8/6/1979","0.1"
"MY18","MWRA059","10/28/1980","0.2"
"MY18","MWRA059","2/26/1981","0.5"
"MY18","MWRA059","7/29/1981","0"
"HB01","HAB0015","6/27/1979","0.4"
"HB01","HAB0015","8/6/1979","0.5"
"HB01","HAB0015","12/12/1979","0.9"
"HB01","HAB0015","5/13/1980","16"
"HB01","HAB0015","10/28/1980","1"
"HB01","HAB0015","2/26/1981","1.3"
"HB01","HAB0015","7/29/1981","0.7"
"HB02","HB02","6/27/1979","0.2"
"HB02","HB02","8/6/1979","0.2"
"HB02","HB02","12/12/1979","0.6"
"HB02","HB02","5/13/1980","0.1"
"HB02","HB02","10/28/1980","0.4"
"HB02","HB02","2/26/1981","0.7"
"HB02","HB02","7/29/1981","0.1"
